
Iterations = 1:4996
Thinning interval = 5 
Number of chains = 3 
Sample size per chain = 1000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

              Mean        SD  Naive SE Time-series SE
a[1]     2.460e+06 1.037e+02 1.893e+00      2.070e+00
a[2]     2.406e+06 5.619e+01 1.026e+00      9.758e-01
a[3]     3.760e+06 1.028e+02 1.877e+00      1.877e+00
a[4]     8.725e+05 7.864e+01 1.436e+00      1.458e+00
a[5]     7.162e+06 1.018e+02 1.858e+00      1.891e+00
a[6]     7.203e+06 7.566e+01 1.381e+00      1.381e+00
a[7]     7.215e+06 9.828e+01 1.794e+00      1.795e+00
a[8]     6.624e+06 1.009e+02 1.841e+00      1.901e+00
a[9]     4.140e+06 7.781e+01 1.421e+00      1.376e+00
a[10]    4.680e+06 9.904e+01 1.808e+00      1.854e+00
a[11]    9.183e+06 1.059e+02 1.934e+00      2.004e+00
a[12]    7.040e+06 1.033e+02 1.886e+00      2.021e+00
a[13]    2.485e+06 8.160e+01 1.490e+00      1.549e+00
a[14]    2.431e+06 8.916e+01 1.628e+00      1.628e+00
a[15]    7.907e+06 9.615e+01 1.755e+00      1.756e+00
a[16]    2.111e+06 1.003e+02 1.831e+00      1.794e+00
a[17]    5.947e+06 1.001e+02 1.828e+00      1.823e+00
a[18]    9.178e+06 1.041e+02 1.901e+00      1.947e+00
a[19]    5.019e+06 9.873e+01 1.802e+00      1.802e+00
a[20]    6.882e+06 7.963e+01 1.454e+00      1.537e+00
a[21]    9.271e+06 6.369e+01 1.163e+00      1.212e+00
a[22]    5.588e+06 9.953e+01 1.817e+00      1.817e+00
a[23]    3.710e+06 7.378e+01 1.347e+00      1.301e+00
a[24]    3.525e+06 8.508e+01 1.553e+00      1.593e+00
a[25]    6.503e+06 1.061e+02 1.936e+00      2.009e+00
a[26]    5.315e+06 9.193e+01 1.678e+00      1.675e+00
a[27]    4.635e+06 1.038e+02 1.896e+00      1.941e+00
a[28]    4.988e+06 6.781e+01 1.238e+00      1.259e+00
a[29]    2.534e+06 9.790e+01 1.787e+00      1.801e+00
a[30]    6.624e+06 9.835e+01 1.796e+00      1.795e+00
a[31]    6.261e+06 9.987e+01 1.823e+00      1.861e+00
a[32]    7.279e+06 7.475e+01 1.365e+00      1.365e+00
a[33]    7.382e+06 1.015e+02 1.853e+00      1.864e+00
a[34]    4.997e+06 9.992e+01 1.824e+00      1.875e+00
a[35]    2.429e+06 1.016e+02 1.856e+00      1.856e+00
a[36]    2.254e+06 8.904e+01 1.626e+00      1.570e+00
a[37]    5.368e+06 9.007e+01 1.645e+00      1.677e+00
a[38]    3.549e+06 8.710e+01 1.590e+00      1.591e+00
a[39]    2.914e+06 9.862e+01 1.800e+00      1.850e+00
a[40]    4.467e+06 8.267e+01 1.509e+00      1.538e+00
a[41]    4.595e+06 1.020e+02 1.863e+00      1.890e+00
a[42]    1.232e+06 4.967e+01 9.068e-01      8.433e-01
a[43]    4.192e+06 9.706e+01 1.772e+00      1.600e+00
a[44]    4.815e+06 7.915e+01 1.445e+00      1.445e+00
a[45]    5.139e+06 1.010e+02 1.843e+00      1.880e+00
a[46]    6.596e+06 1.043e+02 1.904e+00      1.909e+00
a[47]    4.307e+06 9.149e+01 1.670e+00      1.745e+00
a[48]    9.888e+06 7.117e+01 1.299e+00      1.300e+00
a[49]    3.783e+06 8.323e+01 1.520e+00      1.519e+00
a[50]    5.386e+06 5.650e+01 1.032e+00      9.878e-01
a[51]    2.452e+06 1.016e+02 1.856e+00      1.856e+00
a[52]    4.177e+06 4.844e+01 8.844e-01      9.101e-01
a[53]    5.573e+06 7.198e+01 1.314e+00      1.314e+00
a[54]    4.163e+06 7.733e+01 1.412e+00      1.412e+00
a[55]    2.457e+06 9.739e+01 1.778e+00      1.783e+00
a[56]    3.955e+06 8.167e+01 1.491e+00      1.354e+00
a[57]    5.480e+06 9.946e+01 1.816e+00      1.848e+00
a[58]    3.233e+06 9.302e+01 1.698e+00      1.734e+00
a[59]    1.675e+06 7.243e+01 1.322e+00      1.274e+00
a[60]    2.683e+06 7.879e+01 1.438e+00      1.439e+00
a[61]    3.910e+06 9.504e+01 1.735e+00      1.786e+00
a[62]    3.265e+06 9.355e+01 1.708e+00      1.737e+00
a[63]    5.936e+06 1.011e+02 1.846e+00      1.718e+00
a[64]    2.555e+06 6.749e+01 1.232e+00      1.232e+00
a[65]    6.045e+06 6.322e+01 1.154e+00      1.180e+00
a[66]    2.836e+06 9.855e+01 1.799e+00      1.840e+00
a[67]    9.183e+05 4.962e+01 9.060e-01      9.419e-01
a[68]    4.939e+06 9.772e+01 1.784e+00      1.815e+00
a[69]    5.656e+06 9.940e+01 1.815e+00      1.815e+00
a[70]    7.798e+06 9.556e+01 1.745e+00      1.775e+00
a[71]    3.457e+06 9.559e+01 1.745e+00      1.745e+00
a[72]    2.715e+06 4.737e+01 8.648e-01      8.475e-01
a[73]    4.989e+06 9.778e+01 1.785e+00      1.874e+00
a[74]    9.396e+06 1.009e+02 1.842e+00      1.883e+00
a[75]    5.649e+06 9.755e+01 1.781e+00      1.816e+00
a[76]    4.547e+06 9.877e+01 1.803e+00      1.800e+00
