player_id,salary,pos,age,tm,g,gs,mp,fg,3p,2p,ft,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,season_end,season_start,age_group,team,position
abrinal01,5994764,SG,23,OKC,68,6,1055,134,94,40,44,18,68,86,40,37,8,33,114,406,2016-17,2017,2016,1,21,6
acyqu01,1914544,PF,26,TOT,38,1,558,70,37,33,45,20,95,115,18,14,15,21,67,222,2016-17,2017,2016,1,29,2
acyqu01,1050961,PF,26,TOT,38,1,558,70,37,33,45,20,95,115,18,14,15,21,67,222,2016-17,2017,2016,1,29,2
acyqu01,1914544,PF,26,DAL,6,0,48,5,1,4,2,2,6,8,0,0,0,2,9,13,2016-17,2017,2016,1,7,2
acyqu01,1050961,PF,26,DAL,6,0,48,5,1,4,2,2,6,8,0,0,0,2,9,13,2016-17,2017,2016,1,7,2
acyqu01,1914544,PF,26,BRK,32,1,510,65,36,29,43,18,89,107,18,14,15,19,58,209,2016-17,2017,2016,1,3,2
acyqu01,1050961,PF,26,BRK,32,1,510,65,36,29,43,18,89,107,18,14,15,19,58,209,2016-17,2017,2016,1,3,2
adamsst01,3140517,C,23,OKC,80,80,2389,374,0,374,157,281,332,613,86,89,78,146,195,905,2016-17,2017,2016,1,21,1
afflaar01,12500000,SG,31,SAC,61,45,1580,185,62,123,83,9,116,125,78,21,6,42,104,515,2016-17,2017,2016,2,26,6
ajincal01,4600000,C,28,NOP,39,15,584,89,0,89,29,46,131,177,12,20,22,31,77,207,2016-17,2017,2016,2,19,1
aldrico01,7643979,C,28,MIN,62,0,531,45,0,45,15,51,107,158,25,25,23,17,85,105,2016-17,2017,2016,2,18,1
aldrila01,20575005,PF,31,SAS,72,72,2335,500,23,477,220,172,351,523,139,46,88,98,158,1243,2016-17,2017,2016,2,27,2
allenla01,4000000,PF,27,IND,61,5,871,77,0,77,23,105,114,219,57,18,24,29,78,177,2016-17,2017,2016,2,12,2
allento01,5505618,SG,35,MEM,71,66,1914,274,15,259,80,166,225,391,98,115,29,100,178,643,2016-17,2017,2016,3,15,6
