rk,player,player_id,trans_team,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,name,16_17_salary,17_18salary
1,Alex Abrines,abrinal01,none,SG,23,OKC,68,6,1055,134,341,0.393,94,247,0.381,40,94,0.426,0.531,44,49,0.898,18,68,86,40,37,8,33,114,406,Oklahoma City Thunder,5994764,5725000
2,Quincy Acy,acyqu01,trans,PF,26,DAL,6,0,48,5,17,0.294,1,7,0.143,4,10,0.4,0.324,2,3,0.667,2,6,8,0,0,0,2,9,13,Dallas Mavericks,1050961,NA
2,Quincy Acy,acyqu01,trans,PF,26,BRK,32,1,510,65,153,0.425,36,83,0.434,29,70,0.414,0.542,43,57,0.754,18,89,107,18,14,15,19,58,209,Brooklyn Nets,1914544,1709538
3,Steven Adams,adamsst01,none,C,23,OKC,80,80,2389,374,655,0.571,0,1,0,374,654,0.572,0.571,157,257,0.611,281,332,613,86,89,78,146,195,905,Oklahoma City Thunder,3140517,22471910
4,Arron Afflalo,afflaar01,none,SG,31,SAC,61,45,1580,185,420,0.44,62,151,0.411,123,269,0.457,0.514,83,93,0.892,9,116,125,78,21,6,42,104,515,Sacramento Kings,12500000,1500000
5,Alexis Ajinca,ajincal01,none,C,28,NOP,39,15,584,89,178,0.5,0,4,0,89,174,0.511,0.5,29,40,0.725,46,131,177,12,20,22,31,77,207,New Orleans Pelicans,4600000,4961798
7,LaMarcus Aldridge,aldrila01,none,PF,31,SAS,72,72,2335,500,1049,0.477,23,56,0.411,477,993,0.48,0.488,220,271,0.812,172,351,523,139,46,88,98,158,1243,San Antonio Spurs,20575005,21461010
8,Lavoy Allen,allenla01,none,PF,27,IND,61,5,871,77,168,0.458,0,1,0,77,167,0.461,0.458,23,33,0.697,105,114,219,57,18,24,29,78,177,Indiana Pacers,4000000,NA
9,Tony Allen,allento01,none,SG,35,MEM,71,66,1914,274,595,0.461,15,54,0.278,259,541,0.479,0.473,80,130,0.615,166,225,391,98,115,29,100,178,643,Memphis Grizzlies,5505618,NA
10,Al-Farouq Aminu,aminual01,none,PF,26,POR,61,25,1773,183,466,0.393,70,212,0.33,113,254,0.445,0.468,96,136,0.706,77,374,451,99,60,44,94,102,532,Portland Trail Blazers,7680965,7319035
12,Alan Anderson,anderal01,none,SF,34,LAC,30,0,308,30,80,0.375,14,44,0.318,16,36,0.444,0.463,12,16,0.75,3,21,24,11,3,0,7,35,86,Los Angeles Clippers,1315448,NA
13,Justin Anderson,anderju01,none,SF,23,PHI,24,8,518,75,162,0.463,21,72,0.292,54,90,0.6,0.528,32,41,0.78,30,66,96,34,13,7,26,45,203,Philadelphia 76ers,1514160,1579440
14,Kyle Anderson,anderky01,none,SF,23,SAS,72,14,1020,93,209,0.445,15,40,0.375,78,169,0.462,0.481,45,57,0.789,33,175,208,91,51,26,39,63,246,San Antonio Spurs,1192080,2151704
15,Ryan Anderson,anderry01,none,PF,28,HOU,72,72,2116,323,773,0.418,204,506,0.403,119,267,0.446,0.55,129,150,0.86,112,218,330,68,31,14,55,142,979,Houston Rockets,18735364,19578455
16,Giannis Antetokounmpo,antetgi01,none,SF,22,MIL,80,80,2845,656,1259,0.521,49,180,0.272,607,1079,0.563,0.541,471,612,0.77,142,558,700,434,131,151,234,246,1832,Milwaukee Bucks,2995421,22471910
17,Carmelo Anthony,anthoca01,none,SF,32,NYK,74,74,2538,602,1389,0.433,151,421,0.359,451,968,0.466,0.488,304,365,0.833,62,376,438,213,60,34,153,198,1659,New York Knicks,24559380,NA
19,Trevor Ariza,arizatr01,none,SF,31,HOU,80,80,2773,326,798,0.409,191,555,0.344,135,243,0.556,0.528,93,126,0.738,54,404,458,175,147,20,73,133,936,Houston Rockets,7806971,7420912
20,Darrell Arthur,arthuda01,none,PF,28,DEN,41,7,639,95,215,0.442,53,117,0.453,42,98,0.429,0.565,19,22,0.864,25,87,112,42,19,21,36,76,262,Denver Nuggets,8070175,7464912
22,D.J. Augustin,augusdj01,none,PG,29,ORL,78,20,1538,195,517,0.377,95,274,0.347,100,243,0.412,0.469,131,161,0.814,15,102,117,209,31,1,90,101,616,Orlando Magic,7250000,7250000
23,Luke Babbitt,babbilu01,none,SF,27,MIA,68,55,1065,113,281,0.402,87,210,0.414,26,71,0.366,0.557,11,15,0.733,12,129,141,36,20,11,25,118,324,Miami Heat,1227000,1974159
24,Ron Baker,bakerro01,none,SG,23,NYK,52,13,857,82,217,0.378,23,86,0.267,59,131,0.45,0.431,28,43,0.651,12,86,98,107,34,8,56,74,215,New York Knicks,543471,4328000
26,Leandro Barbosa,barbole01,none,SG,34,PHO,67,0,963,172,392,0.439,35,98,0.357,137,294,0.466,0.483,40,45,0.889,15,89,104,81,31,8,48,82,419,Phoenix Suns,4000000,500000
27,J.J. Barea,bareajo01,none,PG,32,DAL,35,6,771,142,343,0.414,53,148,0.358,89,195,0.456,0.491,44,51,0.863,9,75,84,193,14,1,63,30,381,Dallas Mavericks,4096950,3903900
28,Harrison Barnes,barneha02,none,PF,24,DAL,79,79,2803,599,1280,0.468,78,222,0.351,521,1058,0.492,0.498,242,281,0.861,93,301,394,116,65,15,102,128,1518,Dallas Mavericks,22116750,23112004
29,Matt Barnes,barnema02,trans,SF,36,SAC,54,13,1367,147,383,0.384,69,211,0.327,78,172,0.453,0.474,50,66,0.758,55,238,293,150,36,17,83,138,413,Sacramento Kings,6125000,2133542
29,Matt Barnes,barnema02,trans,SF,36,GSW,20,5,410,38,90,0.422,18,52,0.346,20,38,0.526,0.522,20,23,0.87,15,76,91,45,12,9,24,47,114,Golden State Warriors,383351,NA
30,Will Barton,bartowi01,none,SG,26,DEN,60,19,1705,295,666,0.443,87,235,0.37,208,431,0.483,0.508,143,190,0.753,58,201,259,206,48,28,97,110,820,Denver Nuggets,3533333,3533333
31,Brandon Bass,bassbr01,none,PF,31,LAC,52,0,577,107,186,0.575,1,3,0.333,106,183,0.579,0.578,77,88,0.875,43,86,129,21,14,11,29,45,292,Los Angeles Clippers,1551659,NA
32,Nicolas Batum,batumni01,none,SG,28,CHO,77,77,2617,393,975,0.403,135,405,0.333,258,570,0.453,0.472,243,284,0.856,46,435,481,456,86,29,194,109,1164,Charlotte Hornets,20869566,22434783
33,Jerryd Bayless,bayleje01,none,PG,28,PHI,3,1,71,11,32,0.344,2,5,0.4,9,27,0.333,0.375,9,10,0.9,3,9,12,13,0,0,9,4,33,Philadelphia 76ers,9424084,9000000
35,Kent Bazemore,bazemke01,none,SF,27,ATL,73,64,1963,295,721,0.409,92,266,0.346,203,455,0.446,0.473,119,168,0.708,45,186,231,177,91,52,125,165,801,Atlanta Hawks,15730338,16910113
37,Malik Beasley,beaslma01,none,SG,20,DEN,22,1,165,33,73,0.452,9,28,0.321,24,45,0.533,0.514,8,10,0.8,5,12,17,11,7,0,8,10,83,Denver Nuggets,1627320,1700640
38,Michael Beasley,beaslmi01,none,PF,28,MIL,56,6,935,216,406,0.532,18,43,0.419,198,363,0.545,0.554,78,105,0.743,40,153,193,53,27,27,66,92,528,Milwaukee Bucks,1403611,NA
39,Marco Belinelli,belinma01,none,SG,30,CHO,74,0,1778,264,615,0.429,102,283,0.36,162,332,0.488,0.512,150,168,0.893,14,164,178,147,44,9,70,90,780,Charlotte Hornets,6333333,NA
40,DeAndre' Bembry,bembrde01,none,SF,22,ATL,38,1,371,47,98,0.48,1,18,0.056,46,80,0.575,0.485,6,16,0.375,14,45,59,28,8,5,16,21,101,Atlanta Hawks,1499760,1567200
41,Dragan Bender,bendedr01,none,PF,19,PHO,43,0,574,57,161,0.354,28,101,0.277,29,60,0.483,0.441,4,11,0.364,23,80,103,23,10,22,32,74,146,Phoenix Suns,4276320,4468800
42,Anthony Bennett,bennean01,none,PF,23,BRK,23,1,264,38,92,0.413,13,48,0.271,25,44,0.568,0.484,26,36,0.722,25,53,78,12,5,3,12,18,115,Brooklyn Nets,1015696,NA
44,D?vis Bert?ns,bertada01,none,PF,24,SAS,67,6,808,103,234,0.44,69,173,0.399,34,61,0.557,0.588,28,34,0.824,22,76,98,46,20,28,32,75,303,San Antonio Spurs,543471,1312611
45,Patrick Beverley,beverpa01,none,SG,28,HOU,67,67,2058,228,543,0.42,110,288,0.382,118,255,0.463,0.521,73,95,0.768,95,298,393,281,99,25,100,222,639,Houston Rockets,6000000,NA
47,Nemanja Bjelica,bjeline01,none,PF,28,MIN,65,1,1190,151,356,0.424,56,177,0.316,95,179,0.531,0.503,45,61,0.738,57,187,244,79,40,20,59,154,403,Minnesota Timberwolves,3800000,3949999
48,Tarik Black,blackta01,none,C,25,LAL,67,16,1091,150,294,0.51,1,2,0.5,149,292,0.51,0.512,82,109,0.752,144,199,343,39,29,44,58,173,383,Los Angeles Lakers,6191000,NA
49,Eric Bledsoe,bledser01,none,PG,27,PHO,66,66,2176,449,1034,0.434,104,310,0.335,345,724,0.477,0.485,388,458,0.847,52,268,320,418,91,31,224,164,1390,Phoenix Suns,14000000,NA
53,Devin Booker,bookede01,none,SG,20,PHO,78,78,2730,606,1431,0.423,147,405,0.363,459,1026,0.447,0.475,367,441,0.832,46,203,249,268,72,21,241,242,1726,Phoenix Suns,2223600,2319360
54,Trevor Booker,booketr01,none,PF,29,BRK,71,43,1754,305,591,0.516,25,78,0.321,280,513,0.546,0.537,74,110,0.673,143,428,571,138,75,28,127,152,709,Brooklyn Nets,9250000,NA
55,Avery Bradley,bradlav01,none,SG,26,BOS,55,55,1835,359,775,0.463,108,277,0.39,251,498,0.504,0.533,68,93,0.731,65,269,334,122,68,11,88,141,894,Boston Celtics,8269663,NA
56,Corey Brewer,breweco01,none,SF,30,LAL,24,3,358,53,121,0.438,5,24,0.208,48,97,0.495,0.459,18,24,0.75,11,41,52,36,24,8,19,29,129,Los Angeles Lakers,7600000,6879366
57,Malcolm Brogdon,brogdma01,none,SG,24,MIL,75,28,1982,290,635,0.457,78,193,0.404,212,442,0.48,0.518,109,126,0.865,47,166,213,317,84,12,113,140,767,Milwaukee Bucks,925000,1312611
58,Aaron Brooks,brookaa01,none,PG,32,IND,65,0,894,121,300,0.403,48,128,0.375,73,172,0.424,0.483,32,40,0.8,18,51,69,125,25,9,66,93,322,Indiana Pacers,2700000,NA
